category,specialty_area,specialty_area_desc,work_role,work_role_description,ksat,code
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of policy-based and risk adaptive access controls.,K0065
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of Privacy Impact Assessments.,K0066
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of process engineering concepts,K0067
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of secure configuration management techniques.,K0073
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Knowledge of software development models (e.g., Waterfall Model, Spiral Model)",K0081
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of software engineering.,K0082
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ", Knowledge of structured analysis principles and methods.,K0084
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Knowledge of system design tools, methods, and techniques, including automated systems analysis and design tools.",K0086
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Knowledge of system software and organizational design standards, policies, and authorized approaches (e.g., International Organization for Standardization [ISO] guidelines) relating to system design.",K0087
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Knowledge of system life cycle management principles, including software security and usability.",K0090
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of systems testing and evaluation methods.,K0091
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Knowledge of telecommunications concepts (e.g., Communications channel, Systems Link Budgeting, Spectral efficiency, Multiplexing). ",K0093
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of the systems engineering process.,K0102
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of Supply Chain Risk Management Practices (NIST SP 800-161) ,K0126
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of interpreted and compiled computer languages.,K0139
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Knowledge of information technology (IT) supply chain security and supply chain risk management policies, requirements, and procedures. ",K0169
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of critical infrastructure systems with information communication technology that were designed without system security considerations.,K0170
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth). ",K0179
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Knowledge of network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools",K0180
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Knowledge of service management concepts for networks and related standards (e.g., Information Technology Infrastructure Library, current version [ITIL]).",K0200
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Knowledge of security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model).",K0203
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of Personally Identifiable Information (PII) data security standards.,K0260
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of Payment Card Industry (PCI) data security standards. ,K0261
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of Personal Health Information (PHI) data security standards.,K0262
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of security management,K0276
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of an organization's information classification program and procedures for information compromise. ,K0287
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of countermeasure design for identified security risks.,K0297
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of cryptology,K0308
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of embedded systems.,K0322
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Knowledge of Information Theory (e.g., source coding, channel coding, algorithm complexity theory, and data compression).",K0325
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Knowledge of network protocols such as TCP/IP, Dynamic Host Configuration, Domain Name System (DNS), and directory services.",K0332
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Knowledge of network design processes, to include understanding of security objectives, operational objectives, and trade-offs.",K0333
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Knowledge of access authentication methods.,K0336
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Skill in conducting vulnerability scans and recognizing vulnerabilities in security systems.,S0001
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Skill in designing countermeasures to identified security risks.,S0022
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Skill in designing security controls based on cybersecurity principles and tenets.,S0023
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Skill in designing the integration of hardware and software solutions,S0024
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Skill in developing and applying security system access controls.,S0031
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Skill in discerning the protection needs (i.e., security controls) of information systems and networks.",S0034
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Skill in evaluating the adequacy of security designs.,S0036
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Skill in conducting audits or reviews of technical systems,S0085
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Skill in integrating and applying policies that meet system security objectives.,S0145
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Skill in the use of design modeling (e.g., unified modeling language).",S0160
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Skill to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation). ",S0367
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Analyze design constraints, analyze trade-offs and detailed system and security design, and consider life cycle support.",T0012
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Apply security policies to applications that interface with one another, such as Business-to-Business (B2B) applications.",T0015
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Assess the effectiveness of cybersecurity measures utilized by system(s).,T0018
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Assess threats to and vulnerabilities of computer system(s) to develop a security risk profile.,T0019
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Build, test, and modify product prototypes using working models or theoretical models.",T0021
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Conduct Privacy Impact Assessments (PIAs) of the application’s security design for the appropriate security controls, which protect the confidentiality and integrity of Personally Identifiable Information (PII)",T0032
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Design and develop cybersecurity or cybersecurity-enabled products.,T0053
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Design hardware, operating systems, and software applications to adequately address cybersecurity requirements",T0055
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Design or integrate appropriate data backup capabilities into overall system designs, and ensure that appropriate technical and procedural processes exist for secure system backups and protected storage of backup data.",T0056
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Develop and direct system testing and validation procedures and documentation.,T0061
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Develop detailed security design documentation for component and interface specifications to support system design and development,T0069
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Develop Disaster Recovery and Continuity of Operations plans for systems under development and ensure testing prior to systems entering a production environment.,T0070
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Develop risk mitigation strategies to resolve vulnerabilities and recommend security changes to system or system components as needed.,T0076
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Develop specific cybersecurity countermeasures and risk mitigation strategies for systems and/or applications.,T0078
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Identify components or elements, allocate security functions to those elements, and describe the relationships between the elements.",T0105
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Identify and direct the remediation of technical problems encountered during testing and implementation of new systems (e.g., identify and find work-arounds for communication protocols that are not interoperable).",T0107
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Identify and prioritize essential system functions or sub-systems required to support essential capabilities or business functions for restoration or recovery after a system failure or during a system recovery event based on overall system requirements for continuity and availability.,T0109
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Identify, assess, and recommend cybersecurity or cybersecurity-enabled products for use within a system and ensure that recommended products are in compliance with organization's evaluation and validation requirements.",T0119
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Implement security designs for new or existing system(s).,T0122
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Incorporate cybersecurity vulnerability solutions into system designs (e.g., Cybersecurity Vulnerability Alerts).",T0124
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Perform risk analysis (e.g., threat, vulnerability, and probability of occurrence) whenever an application or system undergoes a major change.",T0181
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ", Provide guidelines for implementing developed systems to customers or installation teams.,T0201
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Provide input to the Risk Management Framework process activities and related documentation (e.g., system life-cycle support plans, concept of operations, operational procedures, and maintenance training materials).",T0205
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",T0228
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Provide support to security/certification test and evaluation activities.,T0231
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Utilize models and simulations to analyze or predict system performance under different operating conditions.,T0242
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Design and develop key management functions (as related to cybersecurity).,T0269
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Analyze user needs and requirements to plan and conduct system security development.,T0270
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Develop cybersecurity designs to meet specific operational needs and environmental factors (e.g., access controls, automated applications, networked operations, high integrity and availability requirements, multilevel security/processing of multiple classification levels, and processing Sensitive Compartmented Information).",T0271
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Ensure that security design and cybersecurity development activities are properly documented (providing a functional description of security implementation) and updated as necessary.,T0272
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Implement and integrate system development life cycle (SDLC) methodologies (e.g., IBM Rational Unified Process) into development environment.",T0304
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Employ configuration management processes.,T0326
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Design, implement, test, and evaluate secure interfaces between information systems, physical systems, and/or embedded technologies.",T0359
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Design, develop, integrate, and update system security measures that provide confidentiality, integrity, availability, authentication, and non-repudiation.",T0446
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Design to security requirements to ensure requirements are met for all systems and/or applications.,T0449
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ","Develop mitigation strategies to address cost, schedule, performance, and security risks.",T0466
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Perform an information security risk assessment.,T0509
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ", Perform security reviews and identify security gaps in architecture.,T0518
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Provide input to implementation plans and standard operating procedures as they relate to information systems security.,T0527
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle ",Trace system requirements to design components and perform gap analysis.,T0541
SP,system development,Works on the development phases of the systems development life cycle,information systems security developer ,"designs, develops, tests and evaluates information system security throughout the system development life cycle "," Verify stability, interoperability, portability, and/or scalability of system architecture.",T0544
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Ability to interpret and translate customer requirements into operational capabilities.,A0064
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions," Ability to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation). ",A0123
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Ability to identify critical infrastructure systems with information communication technology that were designed without system security considerations.,A0170
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions," Knowledge of computer networking concepts and protocols, and network security methodologies. ",K0001
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions," Knowledge of risk management processes (e.g., methods for assessing and mitigating risk). ",K0002
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions," Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. ",K0003
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Knowledge of cybersecurity and privacy principles. ,K0004
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Knowledge of cyber threats and vulnerabilities. ,K0005
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Knowledge of specific operational impacts of cybersecurity lapses. ,K0006
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Knowledge of applicable business processes and operations of customer organizations. ,K0008
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Knowledge of capabilities and requirements analysis. ,K0012
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Knowledge of encryption algorithms ,K0018
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Knowledge of cryptography and cryptographic key management concepts ,K0019
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Knowledge of resiliency and redundancy. ,K0032
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions," Knowledge of installation, integration, and optimization of system components.",K0035
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions," Knowledge of cybersecurity and privacy principles used to manage risks related to the use, processing, storage, and transmission of information or data.",K0038
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Knowledge of industry-standard and organizationally accepted analysis principles and methods. ,K0043
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions," Knowledge of cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation). ",K0044
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Knowledge of information security systems engineering principles (NIST SP 800-160). ,K0045
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Knowledge of information technology (IT) architectural concepts and frameworks.,K0047
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Knowledge of microprocessors. ,K0055
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions," Knowledge of network access, identity, and access management (e.g., public key infrastructure, Oauth, OpenID, SAML, SPML). ",K0056
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Knowledge of new and emerging information technology (IT) and cybersecurity technologies. ,K0059
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Knowledge of operating systems.,K0060
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions," Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol [TCP] and Internet Protocol [IP], Open System Interconnection Model [OSI], Information Technology Infrastructure Library, current version [ITIL]).",K0061
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Knowledge of parallel and distributed computing concepts.,K0063
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Knowledge of Privacy Impact Assessments.,K0066
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Knowledge of process engineering concepts.,K0067
SP,systems requirements planning,Consults with customers to gather and evaluate functional requirements and translates these requirements into technical solutions. Provides guidance to customers about applicability of information systems to meet business needs.,systems requirements planner,consults with customers to evaluate functional requirements and translate functional requirements into technical solutions, Knowledge of secure configuration management techniques.,K0073
